DEPARTAMENTO;CLASE;TIPO;NOMBRE;NOMBRE CIENTÍFICO;IMAGEN;ICONO
Boyacá;Animales;Nativa;Rana Sabanera;Dendropsophus molitor;https://static.inaturalist.org/photos/33370/small.JPG;No disponible
Boyacá;Animales;Nativa;Garrapatero Pico Liso;Crotophaga ani;https://inaturalist-open-data.s3.amazonaws.com/photos/17538/small.jpg;No disponible
Boyacá;Animales;Nativa;No disponible;Tityus columbianus;https://static.inaturalist.org/photos/233304035/small.png;No disponible
Boyacá;Animales;Nativa;Camaleón de Páramo;Anolis heterodermus;https://static.inaturalist.org/photos/139165/small.jpg;No disponible
Boyacá;Animales;Nativa;Torcaza Nagüiblanca;Zenaida auriculata;https://inaturalist-open-data.s3.amazonaws.com/photos/85633474/small.jpeg;No disponible
Boyacá;Animales;Nativa;Chimachimá;Daptrius chimachima;https://static.inaturalist.org/photos/79568634/small.jpeg;No disponible
Boyacá;Animales;Nativa;Chulo;Coragyps atratus;https://inaturalist-open-data.s3.amazonaws.com/photos/14689662/small.jpg;No disponible
Boyacá;Animales;Nativa;Caravana;Vanellus chilensis;https://inaturalist-open-data.s3.amazonaws.com/photos/261192086/small.jpg;No disponible
Boyacá;Animales;Nativa;Pájaro Ardilla;Piaya cayana;https://inaturalist-open-data.s3.amazonaws.com/photos/179828302/small.jpg;No disponible
Boyacá;Animales;Nativa;Carpintero Carmesí;Colaptes rivolii;https://inaturalist-open-data.s3.amazonaws.com/photos/100564/small.jpg;No disponible
Boyacá;Animales;Nativa;Currucutú Común;Megascops choliba;https://inaturalist-open-data.s3.amazonaws.com/photos/391856/small.JPG;No disponible
Boyacá;Animales;Nativa;Paloma Collareja;Patagioenas fasciata;https://static.inaturalist.org/photos/689686/small.jpg;No disponible
Boyacá;Animales;Nativa;Tucancito Esmeralda;Aulacorhynchus albivitta;https://inaturalist-open-data.s3.amazonaws.com/photos/232020781/small.jpg;No disponible
Boyacá;Animales;Nativa;Guacharaca Colombiana;Ortalis columbiana;https://inaturalist-open-data.s3.amazonaws.com/photos/237676860/small.jpeg;No disponible
